file,generation time,test time,blocktest count,actual test count,USEABLE,total_time
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http2Connection,1495,1784,11,10,TRUE,3.279
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-SimpleXMLParser,1549,1540,61,60,TRUE,3.089
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-TiffImage,1571,1546,31,30,TRUE,3.117
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-PluginManager,1504,2188,41,40,TRUE,3.692
apache-commons-codec-634ac7caba17b3610e8fe3dd19f9f05faf4d1f94-Rule,1529,3043,71,70,TRUE,4.572
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-JpegImageParser,1599,4011,41,40,TRUE,5.61
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input,1675,1593,81,60,TRUE,3.268
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-BundledScriptTracker,1661,3101,131,130,TRUE,4.762
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImage,1683,1430,51,50,TRUE,3.113
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder,1689,1425,81,80,TRUE,3.114
attoparser-attoparser-e1049dcd8261fe315b679029e711a9f5ea03f1cc-MarkupSelectorItems,1619,2108,101,100,TRUE,3.727
awslabs-aws-glue-catalog-sync-agent-for-hive-2ba77e5718c5b1988e711fac37966b40665bc385-HiveGlueCatalogSyncAgent,2066,2201,41,40,TRUE,4.267
Azure-azure-functions-java-worker-c92d38cdeb867f2f7e2ae9b2515c32c2ecfd1e41-BindingDataStore,1501,4571,11,10,TRUE,6.072
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-ProxyClient,1986,1811,21,20,TRUE,3.797
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-Proxy,1619,1561,51,50,TRUE,3.18
ben-xo-cdjscrobbler-921fe5394227f1f602174b7c8935697904128d53-UpdateListener,1439,1402,11,10,TRUE,2.841
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Window,1803,1558,51,50,TRUE,3.361
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-Bootstrap,1699,1472,31,30,TRUE,3.171
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-CCSecurity,1470,4705,21,20,TRUE,6.175
darmiel-eeee-f4114a3bf831ae88f6cca606f4d0f93ac09cc210-EntryMethod,1443,1336,11,10,TRUE,2.779
datadotworld-dw-jdbc-ac4f7d8a457dce89cbaa9eb33994304e5504fda1-SparqlResultsParser,1953,2074,51,50,TRUE,4.027
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder,2195,1980,11,10,TRUE,4.175
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA,1617,1747,51,50,TRUE,3.364
errai-errai-d2edc4632373096f8d81c93f18cd874fa5501b90-JsTypeAntiInliningExtension,-1,-1,0,-1,FALSE,-0.002
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-YamlReader,1577,1736,41,40,TRUE,3.313
f4b6a3-uuid-creator-f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c-TimeOrderedEpochFactory,1938,1745,21,20,TRUE,3.683
