hash,total,writing
65ef1dee5a95384cecf87e90fda505cc,258,140
970f8eefa51f3083bcdb1748da8c4e7e,144,122
2243e187eedf266248ec0f1659dff1fb,310,145
ffbec4b817826ed207da13884a3ea8cf,170,126
a6c7411a615e6dcf175612812be3ba8d,286,149
61b6924695b1532584097b1b2515d57a,128,121
200f0380398925ff08d3694850c22053,138,123
8f1deeee0d96f81c9a24e2d318d74eda,136,123
7cdfc3bcc795f33dd7b41067da922130,136,122
e9649e7abe1bbc829f98c00eb27c35a9,289,145
01973e419bff7ebc65cf41cdc2a6deff,188,131
404c4d556c0ef64eb8de9c8ea6c24aeb,1652,418
2b1370dce665a0193db30e859314d922,600,180
447725e83a7ec6c3eeb8693874d75ba4,15,15
3f3fbd4afaaa698565afcf4b0e9d74f7,313,144
958a897398113fd65d50b9c12f6903ed,548,205
63c838be7f5f37dc74d5787ac51987a5,396,153
8d31e32718e0f2983e4a9ea950ebff89,700,207
06de3ce0d1fd5a2dba2579c371ea099d,186,129
66712aa3273f5d62f70894ee4022e4d8,182,132
4e00ce7cede54c1be5f1ba6e179bc5e0,307,143
d0c725ad86c11655829e5e183a017958,363,162
6d245f247cebe5b25ca54154c1418b7b,307,150
4e56a3008bf00a6f811792087f635be5,375,160
815fea1e412fe38b6d898a13d10fec77,151,125
1e580558cbf79ff28e294ed2cb9997ea,251,139
f6f791adb407cb1a358a3424ca39a128,153,125
ecd38950f5188558f40334d97ea61f4b,93,93
786df31443ec98a88aad6aac2bde12a7,84,84
de0f702418c4482333fe1bc0b0e18954,167,128
33c47b70dcf5449d2840bb0a71a35520,229,136
7c04670266a82bb745c9abcbdbaccd48,525,198
225a1905a0ec5c146bb36dcc002abc69,222,135
f2f073a7ccd7751a4516f9e1ce658e6b,390,172
3295e581dfab988fa8faa6db365b75cb,610,190
15c42d7b0bd7ed0b8a9a04f2790f4861,341,156
f97834c04ac5b44d8b56823dc7284e09,2756,481
d6edd1b826a6f505ff15e5ba11908011,340,151
0efa2245df9c35ceeb8514369b9cb070,376,152
67dbc61ecf2d63def1c6d5c2fca13d1c,572,187
4030d0fcb4b1a542fd040dc357ad9ab5,693,196
3f34cbe58ae4b106e979c7e52c97fcdb,372,153
dacb07ea55c299d7345117748027805a,685,218
e0d48cd7af3191114ad623c149d7bd5f,560,164
816c67014650af706737861cbe5dcadf,565,171
